Day,Sales,Trading Profit,Operating Expense,Net Profit
11,2596440,798925,1178214,-375709
12,3834537,1936860,1223283,715102
13,4164512,2122574,1269195,854904
14,4473933,2315095,1316600,1000020
15,4784283,2006840,1666434,341931
16,5726032,2849879,1729300,1120579
17,6031099,3055118,1775041,1280077
18,6328933,3205754,1838285,1367469
19,6615725,3168833,2019814,1150046
20,7408380,2956684,2587531,370694
21,8874982,4249319,2640788,1609045
22,9320024,4132555,2735704,1396851
23,9794986,4458394,2803420,1654974
24,10278636,4595191,2876865,1718326
25,10762503,4913684,2939766,1973918
26,11414351,5010494,3067737,1942757
27,12644948,5817872,3226693,2591179
28,13103891,5652922,3341228,2311694
29,13848129,6254789,3436109,2818680
30,14271557,6543763,3513798,3029965
31,14885609,7037244,3573006,3464238
32,15883529,7898164,3641151,4257013
33,19314049,10677375,3734225,6943150
34,21191862,12128774,3816278,8312496
35,23867044,14315311,3904921,10410390
36,24434347,14471340,4061054,10410286
37,25310390,15246178,4141509,11104669
38,25874473,15710527,4204876,11505651
39,26447604,16184127,4335711,11848416
40,26978882,16151942,4448223,11703719
41,27609855,16177514,4570688,11606826
42,28313729,16763405,4642091,12121314
43,29226553,17422794,4840979,12581815
44,32967051,19853575,5368010,14485565
45,37332522,23562356,5498223,18064133
46,38020327,24156524,5588446,18568078
47,38438301,24483032,5664573,18818459
48,39503254,25451055,5804690,19646365
49,40109564,25922133,6125323,19796810
50,40648942,25544054,6454290,19089764
51,41553528,26302793,6780030,19522763
52,44351333,28530711,6857891,21672820
53,46641850,29883821,7984107,21899714
54,49455418,32075175,8123709,23951466
55,49852115,31914122,8733554,23180568
56,51354876,33177642,8822854,24354788
57,51898252,33495825,8917682,24578143
58,52370941,33871819,9014155,24857664
59,54081389,34382497,9499291,24883206
60,55475044,34967978,9675489,25292489
61,56432026,35683649,9824630,25859019
62,57382605,36466119,9909593,26556526
63,58689261,37618914,10065850,27553064
64,59683565,38462207,10186340,28275867
65,64145585,41412096,10873485,30538611
66,66251276,42686409,11095575,31590834
67,68009602,44320386,11192098,33128288
68,68702912,44362333,11339639,33022694
69,69529252,44645784,11704266,32941518
70,72812855,47233174,11982975,35250199
71,74589253,48276570,12397663,35878907
72,77700826,50353789,12946141,37407648
73,80008228,50832090,13241900,37590190
74,81030455,51014277,13406611,37607666
75,81979668,51798892,13484691,38314201
76,82918179,52576090,13559991,39016099
77,84187401,52757547,14121476,38636071
78,86821935,54338613,14544114,39794499
79,88852026,56195724,14673354,41522370
80,90521347,57695784,14786260,42909524
81,91802242,57648677,15755257,41893420
82,94530973,59497611,15924245,43573366
83,95421520,60229071,16006538,44222533
84,99098009,63455984,16138066,47317918
85,102839635,66371605,16387131,49984474
86,103975572,64951128,17626831,47287631
87,105863008,66679248,17696844,48943070
88,107253425,67453801,17844132,49600335
89,109281016,69302028,17936671,51356023
90,110799279,69831805,18770657,51051814
